date,city,scenario,temperature_f,precip_mm
1867-10,San Diego,ssp126,61.1,0.4985
1867-11,San Diego,ssp126,61.34,0.5625
1867-12,San Diego,ssp126,61.5,0.5907
1868-01,San Diego,ssp126,61.5,0.5893
1868-02,San Diego,ssp126,61.81,0.5897
1868-03,San Diego,ssp126,62.05,0.5988
1868-04,San Diego,ssp126,62.32,0.7685
1868-05,San Diego,ssp126,62.93,0.7872
1868-06,San Diego,ssp126,62.83,0.8556
1868-07,San Diego,ssp126,63.08,0.9996
1868-08,San Diego,ssp126,63.11,0.923
1868-09,San Diego,ssp126,63.14,0.8525
1868-10,San Diego,ssp126,63.75,0.7167
1868-11,San Diego,ssp126,63.76,0.6329
1868-12,San Diego,ssp126,63.61,0.6187
1869-01,San Diego,ssp126,64.11,0.6165
1869-02,San Diego,ssp126,63.99,0.6145
1869-03,San Diego,ssp126,63.78,0.7296
1869-04,San Diego,ssp126,63.49,0.6005
1869-05,San Diego,ssp126,62.82,0.5806
1869-06,San Diego,ssp126,62.89,0.5878
1869-07,San Diego,ssp126,62.7,0.5738
1869-08,San Diego,ssp126,62.76,0.8005
1869-09,San Diego,ssp126,62.35,0.9235
1869-10,San Diego,ssp126,61.88,0.9893
1869-11,San Diego,ssp126,61.79,1.0505
1869-12,San Diego,ssp126,61.91,1.03
1870-01,San Diego,ssp126,61.82,1.0323
1870-02,San Diego,ssp126,61.75,1.0318
1870-03,San Diego,ssp126,61.8,0.9196
1870-04,San Diego,ssp126,62.11,1.2019
1870-05,San Diego,ssp126,62.23,1.3712
1870-06,San Diego,ssp126,62.1,1.3735
1870-07,San Diego,ssp126,61.68,1.1898
1870-08,San Diego,ssp126,61.77,1.1628
1870-09,San Diego,ssp126,62.07,1.2361
1870-10,San Diego,ssp126,62.38,1.2875
1870-11,San Diego,ssp126,62.32,1.4222
1870-12,San Diego,ssp126,62.27,1.431
1871-01,San Diego,ssp126,61.99,1.4375
1871-02,San Diego,ssp126,62.06,1.4392
1871-03,San Diego,ssp126,61.84,1.4363
1871-04,San Diego,ssp126,61.79,1.1252
1871-05,San Diego,ssp126,62.06,0.9564
1871-06,San Diego,ssp126,62.17,0.943
1871-07,San Diego,ssp126,62.5,1.2167
1871-08,San Diego,ssp126,62.14,0.9659
1871-09,San Diego,ssp126,62.28,0.8521
1871-10,San Diego,ssp126,62.0,0.8313
1871-11,San Diego,ssp126,62.1,0.6762
1871-12,San Diego,ssp126,61.8,0.7934
1872-01,San Diego,ssp126,61.75,0.7886
1872-02,San Diego,ssp126,61.59,0.7874
1872-03,San Diego,ssp126,61.66,0.7985
1872-04,San Diego,ssp126,61.98,0.7854
1872-05,San Diego,ssp126,61.61,0.7862
1872-06,San Diego,ssp126,61.9,0.7282
1872-07,San Diego,ssp126,61.83,0.4825
1872-08,San Diego,ssp126,61.89,0.4936
1872-09,San Diego,ssp126,61.68,0.4921
1872-10,San Diego,ssp126,61.88,0.4664
1872-11,San Diego,ssp126,61.71,0.4661
1872-12,San Diego,ssp126,61.9,0.3383
1873-01,San Diego,ssp126,62.09,0.3324
1873-02,San Diego,ssp126,62.12,0.3333
1873-03,San Diego,ssp126,62.18,0.3169
1873-04,San Diego,ssp126,61.81,0.316
1873-05,San Diego,ssp126,61.61,0.3144
1873-06,San Diego,ssp126,61.33,0.3422
1873-07,San Diego,ssp126,61.33,0.4274
1873-08,San Diego,ssp126,61.19,0.4315
1873-09,San Diego,ssp126,61.3,0.4229
1873-10,San Diego,ssp126,61.29,0.3446
1873-11,San Diego,ssp126,61.24,0.4634
1873-12,San Diego,ssp126,61.27,0.54
1874-01,San Diego,ssp126,61.03,0.5453
1874-02,San Diego,ssp126,60.78,0.5458
1874-03,San Diego,ssp126,60.83,0.5428
1874-04,San Diego,ssp126,60.5,0.5713
1874-05,San Diego,ssp126,60.67,0.5941
1874-06,San Diego,ssp126,60.61,0.5591
1874-07,San Diego,ssp126,60.45,0.6472
1874-08,San Diego,ssp126,60.36,0.6557
